,Stem length (cm),Root length (cm),Thousand  Seed weight (g),Geramination (%),Poods per plant (number),Stem bark thickness (mm),Root bark thickness (mm),Protein content  %,Seed oil content (%),Seed yield (g ),Chlorophyll (microg/mg dry wt),"leaf blight (0=absent,1=present)","Stem blight (0=absent, 1=present)","Root blight (0=absent,1=present)","Chlorosis (0=absent,1=present)","Leaf spot (0=none,1=browen,2=black)","Canker-lesion (1=browen,2=black)","Int-discolor (1=browen,2=black)","seed-discolor (1= browen, 2=black)","leaves -discolor (1=yello,2 =browen)","Stem-cankers (1=below-soil,2=above-soil)"
Infection plant,36.72,20.74,92.69,37.7,39.66,22.24,7.27,24.05,12.55,206.22,10.38,1,1,1,1,2,2,2,2,2,2
Infection plant,30.94,12.48,96.94,35.97,22.66,24.37,7.4,19.08,10.39,111.51,12.07,1,1,1,1,2,2,2,2,2,1
Infection plant,39.3,20.88,81.74,41.26,48.56,21.69,12.37,26.94,10.21,200.02,19.75,1,1,1,1,1,2,2,2,1,1
Infection plant,35.97,18.85,90.22,47.31,45.88,20.16,9.01,22.44,17.16,122,12.75,1,1,1,1,2,1,2,1,2,2
Infection plant,33.77,20.16,117.49,34.64,21.18,17.1,5.33,28.01,9.26,157.35,19.01,1,1,1,1,2,1,2,1,2,2
Infection plant,33.31,16.58,129.21,38.96,49.45,20.88,7.54,29.34,9.14,173.76,14.76,1,1,1,1,1,1,2,1,1,2
Infection plant,30.26,16.96,100.01,46.43,28,19.72,9.29,29.41,13.67,197.31,14.4,1,1,1,1,1,1,2,1,1,2
Infection plant,35.25,13.95,108.85,37.41,47.48,19.68,3.78,24.41,8.72,114.35,20.14,1,1,1,1,2,2,2,2,2,2
Infection plant,31.19,21.38,129.2,45.64,35.54,24.98,5.94,23.87,17.51,194.73,11.11,1,1,1,1,1,2,2,2,2,1
Infection plant,38.42,20.46,85.06,30.02,47.29,19.14,6.15,19.32,13.96,145.63,11.97,1,1,1,1,1,2,2,2,2,1
Infection plant,39.2,16.16,99.41,45.33,39.47,19.9,9.19,23.1,10.8,188.33,19.88,1,1,1,1,1,2,2,2,1,1
Infection plant,32.24,21.29,120.71,36.83,34.18,24,4.08,15.3,16.26,175.72,10.31,1,1,1,1,2,1,2,2,2,1
Infection plant,36.61,21.69,88.21,16.54,47.87,16.02,4.2,21.66,10.58,182.11,12.98,1,1,1,1,1,2,2,1,2,2
Infection plant,33.07,16.22,100.54,42.36,35.5,24.58,4.55,29.23,10.63,177.65,11.69,1,1,1,1,1,1,2,2,1,2
Infection plant,36.6,18.4,103.84,25.12,47,21.07,10.02,16.05,10.01,161.23,11.38,1,1,1,1,1,2,2,1,2,1
Infection plant,31.84,18.87,136.71,39.88,40.75,25.35,12.68,19.24,8.88,181.93,13.54,1,1,1,1,2,2,2,2,1,1
Infection plant,37.25,17.73,87.39,35.34,39.94,16.55,10.69,25.92,15.31,123.45,9.11,1,1,1,1,2,2,2,2,1,1
Infection plant,31.97,13.35,84.28,41.46,46.79,24.79,9.68,27.06,17.48,171.09,14.99,1,1,1,1,2,1,2,2,1,2
Infection plant,32.86,17.77,91.63,12.07,22.31,24.73,10.41,22.36,14.43,129.98,12.78,1,1,1,1,2,2,2,1,1,1
Infection plant,37.05,16.55,135.86,27.55,46.32,25.2,12.65,26.3,14.87,179.89,16.11,1,1,1,1,1,2,2,1,2,1
Infection plant,35.83,16.79,126,26.86,31.23,20.39,11.12,16.85,13.78,143.57,13.88,1,1,1,1,2,2,2,2,1,2
Infection plant,37.51,15.13,134.01,40.75,46.14,24.96,8.49,21.26,11.77,176.56,13.79,1,1,1,1,1,2,2,1,1,2
Infection plant,32.94,18.97,109.28,36.87,36.73,23.67,12.25,28.74,15.69,183.3,13.61,1,1,1,1,2,1,2,1,2,1
Infection plant,30.17,14.37,135.18,29.53,20.63,24.21,10.09,29.43,8.02,189.8,13.45,1,1,1,1,2,2,2,2,1,2
Infection plant,35.88,13.76,137.04,29.25,48.72,25.97,11.13,28.47,15.63,186,17.11,1,1,1,1,2,1,2,1,2,2
Infection plant,32.36,16.52,113.07,45.39,31.32,23.55,5.01,16.32,9.48,139.49,12.83,1,1,1,1,1,2,2,1,1,2
Infection plant,32.18,12.81,135.09,21.69,49.3,19.17,3.01,16.25,16.11,184.31,20.04,1,1,1,1,2,1,2,2,1,2
Infection plant,30.71,14.25,123.42,26.64,31.81,25.94,5.45,18.09,13.5,113.36,13.25,1,1,1,1,1,2,2,1,2,2
Infection plant,35.87,21.77,101.88,43.75,35.2,22.64,11.78,16.7,11.04,121.17,14.87,1,1,1,1,1,2,2,2,2,2
Infection plant,39.07,19.86,93.4,35.96,49.28,17.56,8.41,24.34,17.14,179.39,14.56,1,1,1,1,1,2,2,2,1,2
Infection plant,38.62,14.39,118.84,28.01,26.14,19.53,4.04,23.53,8.25,147.96,18.03,1,1,1,1,1,2,2,1,2,1
Infection plant,32.16,12.1,89.04,27.42,44.35,23.23,3.11,28.84,11.34,204.89,12.62,1,1,1,1,1,2,2,2,2,2
Infection plant,35.98,12.61,98.28,15.71,46.59,24.11,8.63,20.34,14.5,126.87,20.97,1,1,1,1,1,2,2,2,1,1
Infection plant,35.46,20.66,119,16.57,34.04,17.43,4.77,18.65,15.06,136.31,19.11,1,1,1,1,2,2,2,2,1,2
Infection plant,31.43,13.61,139,28.98,32.27,18.46,6.6,29.76,12.94,110.18,16.18,1,1,1,1,2,1,2,2,2,1
Infection plant,31.24,13.31,90.44,24.3,20.56,18.98,5.5,20.73,11.56,186.14,11.54,1,1,1,1,2,2,2,1,1,1
Infection plant,34.83,12.75,121.82,46.08,24.43,25.6,10.25,18.29,12.92,163.64,17.05,1,1,1,1,2,1,2,1,1,2
Infection plant,30.08,14.43,101.62,15,48.19,21.54,6.7,17.48,12.52,128.66,14.39,1,1,1,1,2,1,2,2,1,1
Infection plant,35.49,12.41,118.83,13.1,34.26,21.5,9.26,27.35,16.07,201.18,14.9,1,1,1,1,2,1,2,1,2,2
Infection plant,32.08,18.61,98.93,27.93,48.41,23.84,10.35,14.17,12.78,188.89,10.17,1,1,1,1,1,1,2,1,2,2
Infection plant,38.15,18.52,138.56,39.68,35.97,22.75,6.46,15.61,13.06,125.01,19.09,1,1,1,1,2,2,2,2,2,2
Infection plant,38.95,21,81.61,19.17,29.25,23.72,3.26,26.77,15.02,135,17.84,1,1,1,1,1,2,2,1,2,2
Infection plant,38.94,18.58,128.97,24.28,24.52,18.68,5.64,27.56,9.01,181.32,9.23,1,1,1,1,2,1,2,2,1,2
Infection plant,34.02,14.98,84,48.14,47.57,19.4,5.83,18.81,15.48,139,19.68,1,1,1,1,1,1,2,1,2,2
Infection plant,32.51,20.43,106.08,14.3,41.07,16.62,10.26,21.59,14.72,167.2,11.62,1,1,1,1,2,2,2,1,2,1
Infection plant,38.46,12.6,98.16,21.29,46,17.03,6.79,18.79,10.65,164.64,11.74,1,1,1,1,1,2,2,1,1,1
Infection plant,38.73,15.91,102.08,48.86,44.02,20.1,11.97,26.04,17.69,150,20.05,1,1,1,1,1,1,2,2,1,2
Infection plant,33.28,13.82,122.35,20.48,45.89,25.22,11.43,25.7,17.91,187.78,10.4,1,1,1,1,2,1,2,2,1,1
Infection plant,33.24,18.51,113,32.79,30.26,21.76,6.48,20.67,8.93,115.83,11.5,1,1,1,1,1,2,2,2,1,1
Infection plant,36.76,19.54,100.07,30.97,24.96,21.83,10.55,14.42,17.09,163.56,19.9,1,1,1,1,2,1,2,2,1,1
Infection plant,32.62,16.89,95.51,29.71,43.62,19.6,5.53,17.37,11.54,168,11.64,1,1,1,1,2,2,2,2,2,1
Infection plant,32.48,17.99,90.09,23.64,34.96,20.75,3.7,29.79,17.33,111.9,11.18,1,1,1,1,2,1,2,2,1,1
Infection plant,30.86,13.87,93.54,46.51,49.21,20.52,12.77,29.69,8.66,175.24,12.49,1,1,1,1,1,2,2,2,1,1
Infection plant,35.23,21.74,130.16,38.01,34.78,18.53,8.79,29.45,10.61,203.38,11.63,1,1,1,1,1,2,2,2,2,2
Infection plant,34.36,19.7,134,13.71,29.95,25.82,9.89,29.01,16.59,114.07,20.39,1,1,1,1,2,2,2,1,1,1
Infection plant,35.79,14.02,91.05,41.35,31.93,25.38,10.18,27.24,12.18,165.31,15.7,1,1,1,1,1,2,2,1,2,1
Infection plant,30.01,19.16,89,48.3,43.93,19.06,3.38,16.34,14.03,204.33,15.93,1,1,1,1,2,2,2,1,1,2
Infection plant,37.24,19.22,119.17,11.41,47.52,25.98,10.08,29.04,11.18,134.85,12.14,1,1,1,1,1,2,2,2,2,1
Infection plant,30.48,15.05,122.52,36.72,38.78,23.8,9.49,19.04,16.85,204.46,17.75,1,1,1,1,1,1,2,2,2,2
Infection plant,37.14,16.36,137.82,15.45,49.16,24.6,7.81,22.01,13.76,125.87,15.17,1,1,1,1,2,2,2,1,1,2
Infection plant,35.7,12.32,87.69,21.75,23.53,25.88,4.76,19.4,8.76,157.88,14.35,1,1,1,1,1,2,2,2,2,2
Infection plant,30.82,14,83.55,39.18,45.79,24.13,9.11,22.76,10.27,165.73,10.85,1,1,1,1,1,2,2,2,1,2
Infection plant,37.88,16.4,128.49,34.77,29.57,18.4,9.03,25.03,14.94,127.67,20.84,1,1,1,1,1,1,2,2,2,2
Infection plant,33.34,17.46,86.61,45.79,36.96,24.82,5.46,25.96,10.03,173.44,12.31,1,1,1,1,2,2,2,1,2,1
Infection plant,37.18,17.06,104.87,28.42,35.53,22.34,8.39,29.86,14.35,183.18,12.47,1,1,1,1,1,2,2,2,2,1
Infection plant,37.49,18.64,117.83,35.05,33.93,20.45,7.42,20.31,14.95,113.4,10.64,1,1,1,1,1,1,2,2,1,1
Infection plant,33.39,13.46,84.17,20.82,47.88,19.52,8.5,24.62,11.47,165.28,11.21,1,1,1,1,1,2,2,2,2,1
Infection plant,35.55,14.83,117.62,28.81,28.94,16.32,8.3,15.93,15.12,118.38,17.76,1,1,1,1,2,1,2,1,2,1
Infection plant,39.51,16.54,85.25,38.87,22.15,23.69,8.7,20.3,9.76,116.43,13.23,1,1,1,1,1,1,2,2,1,1
Infection plant,30.16,17.56,132.52,45.84,49.05,16,12.91,23.79,15.86,148.17,17.59,1,1,1,1,2,1,2,2,1,2
Infection plant,37.3,21.71,121.69,35.94,36.91,17.02,8.04,19.02,12.25,192.4,14.24,1,1,1,1,1,2,2,2,2,1
Infection plant,33.15,15.18,125.79,38.36,49.74,19.83,7.96,26.67,14.36,167.52,12.55,1,1,1,1,2,2,2,2,2,1
Infection plant,36.32,17.94,86.34,28.64,39.28,23.92,8.05,26.61,12.09,190,9.42,1,1,1,1,1,2,2,1,2,1
Infection plant,30.66,18.86,90.55,10.58,28.06,21.48,5.98,14.63,9.18,152.01,11.57,1,1,1,1,1,2,2,2,2,1
Infection plant,34.64,15.61,137.11,30.91,28.15,18.77,7.61,26,15.38,152.04,11.92,1,1,1,1,1,2,2,2,2,2
Infection plant,35.71,14.76,137.31,37.32,33.76,16.46,7.07,29.61,16.55,130.64,16.85,1,1,1,1,2,1,2,2,1,1
Infection plant,33.73,20.41,118,14.54,20.9,20.38,8.6,20.05,11.03,185.85,9.43,1,1,1,1,1,2,2,2,2,1
Infection plant,38.07,15.01,97.93,47.19,37.12,24.93,5.68,28.35,15.17,158.13,16.54,1,1,1,1,2,1,2,2,2,2
Infection plant,37.52,14.19,117.52,45.94,44.22,16.13,11.11,21.32,9.65,128.28,9.3,1,1,1,1,2,1,2,2,2,1
Infection plant,38.76,15.03,98.89,35.31,46.3,17.76,7.6,21.74,11.82,149.04,12.52,1,1,1,1,2,2,2,1,1,1
Infection plant,34.5,12.12,88.12,26.45,46.93,20.29,11.92,15.49,15.42,114.02,10.1,1,1,1,1,1,2,2,2,1,1
Infection plant,38.26,21.85,91.2,32.47,35.19,22.6,10.42,16.68,16.83,186.47,20.34,1,1,1,1,1,2,2,1,2,1
Infection plant,38.6,19.67,124.86,19.69,37.41,21.27,11.91,21.58,9.46,119.93,15.21,1,1,1,1,1,1,2,2,2,1
Infection plant,37.1,14.1,108.37,16.78,22.69,22.54,9.81,23.27,8.01,175.48,18.04,1,1,1,1,2,1,2,1,2,1
Infection plant,36.96,14.5,135.66,33.78,39.14,20.78,10.64,14.47,9.54,179.23,16.53,1,1,1,1,2,1,2,2,2,2
Infection plant,34.49,12,81.89,49.73,45.33,17.55,8.82,21.41,9.05,194,9.92,1,1,1,1,1,1,2,2,1,1
Infection plant,38.52,20.73,97.12,22.83,34.33,19.43,4.15,24.98,9.66,161.14,11.3,1,1,1,1,1,2,2,1,2,1
Infection plant,38.96,19.93,116.08,17.88,39.93,24.2,11.9,15.05,9.08,158.16,14.06,1,1,1,1,2,2,2,1,2,2
Infection plant,31.2,20.77,122.86,29,33.61,19.33,9.36,25,16.21,165.35,13.21,1,1,1,1,1,2,2,2,1,2
Infection plant,32.46,13.64,138,16.04,35.94,20.49,3.03,15.01,8.69,151.12,10.45,1,1,1,1,2,2,2,2,2,2
Infection plant,36.02,16.45,112.97,17.32,45.26,17.72,6.55,24.93,8.18,186.63,10.12,1,1,1,1,1,1,2,1,2,1
Infection plant,37.66,19.96,82.48,29.13,49.11,21.78,4.41,22.17,11.31,162.45,11.12,1,1,1,1,1,2,2,2,1,2
Infection plant,38.34,13.24,120.94,18.08,20.23,21.55,9.13,29.9,14.85,148.24,13.48,1,1,1,1,2,2,2,1,2,1
Infection plant,34.43,13.78,86.81,10.66,32.65,22.82,11.33,22.77,8.79,145.49,10.88,1,1,1,1,1,1,2,2,1,2
Infection plant,32.76,18.19,127.93,4461,32.88,19.82,12.35,17.58,8.87,164.49,14.75,1,1,1,1,2,1,2,1,2,1
Infection plant,31.72,15.47,114.13,42.71,40,22.36,8.73,17.3,17.11,169.71,18.31,1,1,1,1,1,1,2,2,2,2
Infection plant,39.06,17.55,134.16,16.4,20.62,23.19,8.74,22.37,12.73,141.97,13.78,1,1,1,1,1,2,2,2,2,1
Infection plant,30.45,18.22,96.6,19.73,46.04,20.51,12.51,26.55,17.79,208.17,17.25,1,1,1,1,2,1,2,1,2,2
Infection plant,39.37,15.29,83.36,48.74,39.76,21.63,8.28,28.73,12.46,183.52,16.14,1,1,1,1,2,2,2,1,2,1
Infection plant,32.14,20.65,92.63,22.13,48.94,16.38,5.48,20.18,10.12,134.3,12.41,1,1,1,1,2,1,2,2,2,1
Infection plant,31.83,20.26,97.01,40.67,30.3,19.62,4.23,17.11,8.89,175.86,16.44,1,1,1,1,1,2,2,2,2,1
Infection plant,36.34,18.69,133.41,27.8,38.31,18.79,4.1,25.07,15.05,135.93,10.79,1,1,1,1,2,1,2,2,1,2
Infection plant,37.41,17.83,122.13,44.98,39.62,16.33,8.21,24.11,13.93,195.52,9.58,1,1,1,1,2,1,2,2,1,1
Infection plant,37.84,18.24,84.35,39.1,49.98,18.36,10.47,17.2,15.54,147,13.71,1,1,1,1,1,2,2,1,2,1
Infection plant,38.09,18.62,129.18,41.06,49.37,16.22,6.31,21.45,10.81,197.64,11.96,1,1,1,1,1,2,2,2,2,1
Infection plant,36.75,14.89,126.17,25.65,25.33,25.24,11.03,28.8,11.45,134.71,10.02,1,1,1,1,1,2,2,2,2,2
Infection plant,31.29,16.73,128.17,47.32,33.91,22.93,12.11,18.73,10.28,144.19,19.47,1,1,1,1,1,1,2,2,2,1
Infection plant,39.8,21.54,89.63,23.76,31.13,19.19,5.05,24.73,14.73,195.77,20.54,1,1,1,1,2,2,2,2,1,2
Infection plant,37.21,16.29,113.31,27.21,30,21.71,8.52,19.27,10.99,113.04,18.07,1,1,1,1,1,2,2,1,1,2
Infection plant,36.37,19.21,121.88,45.16,21.19,23.41,8.47,21.9,13.66,109,10.24,1,1,1,1,2,2,2,2,1,1
Infection plant,37.33,16.35,102.75,27.18,20.65,18.11,5.27,16.2,15.74,121.71,13.67,1,1,1,1,2,2,2,1,2,2
Infection plant,35.27,21.95,136.73,36.3,47.27,23.48,4.58,26.24,16.12,136.9,15.71,1,1,1,1,1,2,2,1,2,2
Infection plant,37.93,14.91,111.4,18.98,21.38,23.3,12.93,17,16.06,202.56,12.46,1,1,1,1,2,2,2,2,1,2
Infection plant,33,14.51,112,31,37.72,21.7,8.53,20.71,13.18,183.69,20.8,1,1,1,1,2,1,2,2,2,1
Infection plant,37.87,20.36,90.6,38.09,48.85,20.41,9.56,23.56,8.82,154.26,15.65,1,1,1,1,1,2,2,1,2,2
Infection plant,34.06,15.64,97.48,19.3,39.8,19.37,6.04,17.99,11.76,171.08,12.43,1,1,1,1,2,2,2,1,2,1
Infection plant,36.98,21.22,87.98,30.64,23.34,21.61,7.17,15.84,10.29,209.34,20.25,1,1,1,1,2,2,2,1,1,2
Infection plant,31.51,13.34,116.61,36.21,25.19,22.73,7.9,24.46,10.24,121,9.18,1,1,1,1,1,2,2,1,2,1
Infection plant,30.49,17.24,86.64,17.76,38.94,17.89,7.56,14.33,11.8,191.96,12.65,1,1,1,1,2,1,2,2,1,1
Infection plant,33.74,21.2,124,43,38.42,17.33,6.24,20.1,17.38,125.53,11.72,1,1,1,1,2,2,2,1,2,2
Infection plant,39.28,20.34,91.95,29.14,49.91,22.16,8.02,25.63,16.82,170.17,17.1,1,1,1,1,1,1,2,1,1,1
Infection plant,39.59,17.39,124.9,34.23,37,22.88,8.37,29.3,12.37,158.07,14.65,1,1,1,1,2,1,2,1,1,2
Infection plant,30.09,12.14,103.87,27.63,48.32,22.56,6.94,26.09,11.81,177.07,20.86,1,1,1,1,1,2,2,2,1,1
Infection plant,35.51,18.29,128.04,32.78,48.95,22.7,5.26,27.33,17.87,152.38,13.91,1,1,1,1,2,1,2,1,1,2
Infection plant,31.35,15.79,84.71,13.61,31.95,17.81,8.76,27.08,11.37,145.97,12.15,1,1,1,1,1,1,2,1,2,2
Infection plant,33.88,16.71,93.76,49,35,22.06,6.99,22.83,9.88,157,10.71,1,1,1,1,2,1,2,2,1,1
Infection plant,38.69,14.62,98.41,34.18,33.24,20.6,10.92,26.95,15.36,196.28,13.04,1,1,1,1,2,1,2,2,1,2
Infection plant,36.19,19.71,91.15,47.99,38.06,18.22,9.7,23.42,17.39,132.16,9.22,1,1,1,1,1,2,2,1,2,2
Infection plant,39.83,15.75,124.55,30.88,48.39,19.05,9.47,29.47,13.33,167.84,20.02,1,1,1,1,1,1,2,2,1,1
Infection plant,30.42,19.97,84.06,49.78,31.7,20.19,3.6,23.28,15.29,201.06,13.02,1,1,1,1,1,1,2,2,1,1
Infection plant,30.35,18.59,86,39.07,36.54,21.92,5.2,24.13,9.21,170.79,9.8,1,1,1,1,1,2,2,1,2,1
Infection plant,36.95,17.12,86.96,36.95,21,17.32,9.71,21.11,16.93,137.08,14.16,1,1,1,1,2,1,2,2,2,1
Infection plant,30.15,21.84,134.8,34.19,35.7,22.01,8.72,15.67,14.34,111.48,13.99,1,1,1,1,1,1,2,1,1,1
Infection plant,30.52,19.33,135.1,38.3,47.42,20.02,8.35,25.17,12.23,189.25,13.63,1,1,1,1,2,1,2,2,1,1
Infection plant,37.91,18.88,131.31,35.3,47.62,18.87,9.5,16.6,11,116.19,16.28,1,1,1,1,2,1,2,2,2,1
Infection plant,38.54,18.66,116,18.81,45.65,20.54,10.72,29.08,14.58,115.9,9.4,1,1,1,1,2,2,2,1,1,2
Infection plant,36.59,13.1,83.98,44.91,23.83,22.74,7.24,25.04,9.04,129.5,14.63,1,1,1,1,2,1,2,1,1,2
Infection plant,31.26,16.74,97.86,29.7,47.55,22.47,3.54,27.49,9.12,186.67,16.89,1,1,1,1,1,1,2,1,1,2
Infection plant,33.53,13.67,136.17,33.26,32.97,20.79,3.53,20.56,16.8,121.31,16.21,1,1,1,1,1,1,2,1,2,2
Infection plant,32.91,17.87,133.01,47.4,37.6,24.01,9.75,23.66,14.78,118.09,20.06,1,1,1,1,2,1,2,1,1,1
Infection plant,39.04,20.18,94.94,22.16,27.39,22.52,4.12,25.5,16.29,193.84,10.25,1,1,1,1,1,2,2,1,2,2
Infection plant,34.91,15.28,110.14,11.97,37.24,25.29,11.71,28.32,16.17,207.99,14.69,1,1,1,1,1,2,2,2,2,1
Infection plant,38.74,19.82,136.48,47.22,26.65,16.24,12.38,26.96,17.25,178.17,13.69,1,1,1,1,2,1,2,1,2,2
Infection plant,35.02,12.62,88.96,28.6,32.44,23.15,3.62,22.62,12.1,189.06,18.43,1,1,1,1,2,1,2,1,1,1
Infection plant,34.65,15.27,115.58,14.55,30.13,24.3,10.81,25.57,8.57,205.66,20.66,1,1,1,1,2,1,2,2,2,2
Infection plant,37.86,16.75,95.94,18.11,25.39,24.16,6.89,14.02,8.55,198.62,15.5,1,1,1,1,1,2,2,1,1,2
Infection plant,32.77,19.4,101,36.46,29.16,21.12,10.54,16.17,15.85,146.58,9.72,1,1,1,1,2,1,2,1,2,1
Infection plant,32.89,17.93,119.44,35,49.58,22.69,7.45,15.94,14.14,176.79,12.94,1,1,1,1,1,1,2,1,1,1
Infection plant,32.92,12.84,96,12,30.8,23.14,11.04,28.11,14.74,174,11.28,1,1,1,1,1,1,2,2,1,1
Infection plant,32.33,20.57,85.32,42.47,49.68,17.88,11.2,29.27,14.26,207.24,14.21,1,1,1,1,1,1,2,2,1,2
Infection plant,38.02,18.96,123.97,29.64,30.57,21.1,7.84,22.99,12.57,169.06,20.56,1,1,1,1,1,2,2,2,2,2
Infection plant,39.27,17.23,98.68,14.75,36.29,18.59,11.75,26.11,14.89,121.08,16.2,1,1,1,1,2,2,2,2,1,2
Infection plant,35.16,21.26,136.15,47.33,45.1,25.14,7.83,18.88,8.41,187.32,10.86,1,1,1,1,2,1,2,1,1,2
Infection plant,33.01,19.68,134.86,28.32,35.35,20.91,7.48,29.15,15.82,192.78,16.07,1,1,1,1,1,1,2,1,2,2
Infection plant,30.74,17.47,108.67,38.23,47.22,16.7,7.44,18.77,11.39,147.88,14.83,1,1,1,1,1,2,2,1,2,1
Infection plant,31.68,15.36,137.64,18.85,38.3,16.37,12.69,20.77,11.84,148.87,13.16,1,1,1,1,1,1,2,1,2,1
Infection plant,31.14,21.82,83.24,39.81,38.58,22.79,5.1,25.97,14.65,195.54,10.41,1,1,1,1,2,1,2,2,2,2
Infection plant,35.52,21.34,116.13,42.96,25.38,22.96,7.92,25.32,11.97,141,16.61,1,1,1,1,2,1,2,1,2,2
Infection plant,33.61,16.33,85.03,14.5,21.12,19.16,12.97,15.02,15.64,167.98,18.89,1,1,1,1,1,2,2,1,2,2
Infection plant,30.27,20.12,95.27,42.4,23.16,17.63,9.38,29.75,11.59,173.54,9.53,1,1,1,1,1,2,2,2,1,1
Infection plant,38.53,20.79,81,45.3,32,24.07,6.08,18.05,8.35,209.42,15.34,1,1,1,1,1,2,2,2,2,1
Infection plant,35.09,18.72,92.64,27,25.51,19.85,10.65,24.89,10.34,154.11,20.12,1,1,1,1,1,1,2,1,2,2
Infection plant,37.01,12.23,123.59,12.8,33,18.41,6.22,18.43,17.05,188.76,18.37,1,1,1,1,1,2,2,1,2,2
Infection plant,39.4,16.08,112.68,37.1,22.06,16.97,3.66,27.5,15.68,188.78,13.19,1,1,1,1,2,1,2,2,2,2
Infection plant,33.42,18.28,121.6,17.72,29.9,18.16,4.63,21.85,16.1,168.73,12.81,1,1,1,1,2,1,2,1,2,1
Infection plant,35.38,20.7,83.18,16.41,49.49,19.24,10.51,28.42,8.03,139.57,16.39,1,1,1,1,1,2,2,1,1,2
Infection plant,35.84,18.55,96.83,23.48,30.41,16.01,8.83,17.1,16.48,148,9.95,1,1,1,1,2,1,2,1,1,2
Infection plant,31.07,13.16,93.09,26.67,34.8,23.75,9.22,24,14.23,140.16,11.84,1,1,1,1,2,1,2,2,2,1
Infection plant,36.68,16.15,104.98,44.14,47.9,23.95,9.04,20.64,12.89,200.22,15.47,1,1,1,1,2,2,2,2,1,1
Infection plant,35.69,14.73,99.66,35.73,38.48,22.98,8.87,23.37,17.47,193.7,10.92,1,1,1,1,2,1,2,1,1,1
Infection plant,36.41,19.25,107.17,23.38,29.48,18.9,11.05,16.72,15.41,197.08,15.92,1,1,1,1,1,1,2,1,2,2
Infection plant,35.18,12.94,87.95,24.19,48.54,16.5,6.56,27.26,11.46,155,10.65,1,1,1,1,1,2,2,2,1,2
Infection plant,39.65,16.05,83.2,44.51,38.17,17.5,7.36,27.6,8.86,143.15,12.97,1,1,1,1,2,1,2,2,1,2
Infection plant,35.68,17.7,80.1,14.34,48.83,23.61,4.25,19.03,15.58,117.74,14.38,1,1,1,1,1,2,2,2,2,2
Infection plant,36.94,13.69,133.58,13.59,39.67,25.25,12.55,17.41,8.73,201.01,10.48,1,1,1,1,2,2,2,1,2,2
Infection plant,35.28,18.82,105.36,11,20.99,19.55,7.08,17.87,13.41,130.4,10.84,1,1,1,1,1,1,2,2,2,2
Infection plant,35.48,13.93,99.68,15.63,44.88,23.85,3.73,22.12,16.66,191.7,10.57,1,1,1,1,2,1,2,2,1,1
Infection plant,33.43,19.24,80.85,16.68,34.34,16.72,10.13,18.78,14.68,137,9.19,1,1,1,1,1,1,2,2,1,2
Infection plant,38.38,13.02,133.74,34.93,48.01,18.8,4.14,29.17,8.6,144.73,12.64,1,1,1,1,1,1,2,2,1,2
Infection plant,31.21,16.9,92.27,34.21,34.49,22.12,8.94,18.07,11.91,160.99,14.13,1,1,1,1,1,1,2,2,1,2
Infection plant,30.68,13.71,94.72,27.17,47.37,21.74,6.64,17.05,17.27,138.19,13.97,1,1,1,1,1,2,2,2,1,1
Infection plant,36.29,19.51,94.43,40.36,49.5,19.41,3.75,23.31,16.52,139.85,11.48,1,1,1,1,1,1,2,2,1,2
Infection plant,35.43,19.05,129.68,47.14,49.9,19.93,12.34,18.7,17.5,177.28,12.53,1,1,1,1,2,2,2,2,1,2
Infection plant,35.65,20.72,133,45.82,45.61,16.1,8.12,27.16,10.33,159.88,12.9,1,1,1,1,1,2,2,1,2,2
Infection plant,39.42,19.12,80.62,48.32,36.58,24.12,3.07,16.89,11.43,193,13.56,1,1,1,1,2,1,2,2,1,1
Infection plant,37.59,17.96,118.77,26.33,34.21,22.09,11.37,29.85,14.83,123.59,15.51,1,1,1,1,1,2,2,1,2,1
Infection plant,37.62,19.8,131.99,41.37,43.72,21.56,11.17,29.2,10.15,153.74,10.68,1,1,1,1,1,2,2,2,2,1
Infection plant,37.81,18.39,130.7,26.1,27.46,21.24,6.07,14.72,14.25,124.2,14.86,1,1,1,1,2,2,2,1,2,2
Infection plant,34.9,12.72,101.2,38.58,23.22,19.91,4.01,18.36,16.51,139.08,13.09,1,1,1,1,2,2,2,2,2,1
Infection plant,32.23,21.67,129.61,31.65,21.22,17.11,12.59,27.22,11.7,181.01,20.6,1,1,1,1,1,1,2,2,2,1
Infection plant,30.76,16.19,96.55,14.39,32.59,23.74,12.24,23.06,10.3,117.58,12.76,1,1,1,1,2,2,2,2,1,1
Infection plant,36.55,20.33,124.37,14.44,28.23,18.24,11.31,14.73,9.53,207.44,20.64,1,1,1,1,2,1,2,1,1,2
Infection plant,31.25,17.37,91.87,21.97,32.67,25.11,10.67,27.9,13.72,156.28,17.33,1,1,1,1,1,2,2,2,2,2
Infection plant,37.53,12.11,117.39,27.61,47.58,22.02,3.48,28.51,12.06,125.37,20.77,1,1,1,1,1,2,2,2,1,1
Infection plant,39.93,13.7,83.93,32.11,23.24,22.51,6.49,18.32,14.13,168.61,10.11,1,1,1,1,2,1,2,1,2,2
Infection plant,37.36,14.75,94.59,18.12,31.27,20.5,12.84,27.99,10.83,158.71,12.58,1,1,1,1,1,1,2,2,2,1
Infection plant,31.67,12.02,104.33,29.84,26.38,24.35,6.02,28.48,8.32,179,10.8,1,1,1,1,2,2,2,1,1,1
