,Stem length (cm),Root length (cm),Thousand  Seed weight (g),Geramination (%),Poods per plant (number),Stem bark thickness (mm),Root bark thickness (mm),Protein content  %,Seed oil content (%),Seed yield (g),Chlorophyll (mg/g),Seed shrinkage (%),Amount of greenness (%),Stem fresh weight (g), Dry stem  weight (g),Root fresh weight (g),Root dry weight (g),Empty Seeds per pods (٪),Empty pods per plant  (%),Seedling fresh weight (g),Seedling dry weight (g)
Healthy soybean,107.9,35.05,145.9,55,92.01,55,18.28,31.56,18.6,341.89,20.14,13.5,84.97,28.31,17.45,29.86,18.68,10.64,11.61,16.07,18.16
Healthy soybean,87.05,29.52,234.15,98,70.74,98,20.63,39.14,22.9,230.84,40.66,7.19,55.17,21.36,17.92,28.27,13.32,8.98,12.41,22.68,20.61
Healthy soybean,74.36,37.06,217.78,88.7,50.64,88.7,19.29,46.71,22.27,230,32.9,11.52,71.56,24.07,15.88,29.18,15.33,7.71,18.43,20.74,13.28
Healthy soybean,54.22,24.18,230.26,73.52,54.4,73.52,17.15,38.58,22.62,275.83,22.47,9.77,61.03,24.77,11.45,27.7,19.2,1.04,15.47,17.07,12.81
Healthy soybean,89.76,40.34,238.67,90.11,66.68,90.11,18.41,43.23,23.8,317.74,41.22,16.56,61.57,25.44,14.12,25.77,16.37,10.12,12.95,21.22,11.98
Healthy soybean,106.39,35.61,205.37,88.23,64.97,88.23,17.63,39.81,19.19,309.04,36.04,11.97,80.67,25.83,18.95,27.8,14.27,6.43,11.48,14.42,17.28
Healthy soybean,105.74,33.22,164.67,74.77,61.13,74.77,13.26,59.58,22.71,239.62,43.8,11.5,50.95,23.42,19.61,23.6,12.25,4.68,11.62,16.3,18.06
Healthy soybean,97.09,35.99,201.36,60.6,91.19,60.6,20.73,52.54,20.49,380.58,42.59,7.21,76.37,22.57,18.45,22.27,15.26,4.82,16.6,22.11,14.5
Healthy soybean,59.33,28.82,199,72.43,71,72.43,22.17,58.65,18.14,271.67,41.33,9.48,96.63,25.5,20.64,23.97,13.54,8.84,18,22.54,16.94
Healthy soybean,80.65,29.34,206.57,99.77,84.44,99.77,21.05,54.45,21.78,242,28.81,15.07,88.46,25.27,13.33,23.36,16.22,5.78,15.01,21.76,19.26
Healthy soybean,78.3,28.73,211.78,62.95,94.43,62.95,22.52,59.28,23.68,278.21,48,16.72,76.84,25.02,13.99,29.37,13.81,7.97,9.49,17.47,18.95
Healthy soybean,50,26.26,213.91,81.41,86,81.41,21.14,56.46,20.24,371,32.92,12.41,59.92,26.75,14.5,30.73,19.02,10.44,10.59,17.2,17.33
Healthy soybean,85.81,32.72,223.45,62.28,71.49,62.28,15.67,48.34,18.12,404.75,32.95,8.75,63.78,23.49,19.54,22.58,11.72,2.69,14.63,16.95,12.3
Healthy soybean,107.67,38.5,187.96,88.07,96.34,88.07,16.8,33.51,20.04,326.93,28.58,7.92,66.5,21.96,15.81,26.36,20.13,9.9,12.22,21.44,20.19
Healthy soybean,84.22,28.72,179.07,50.89,63.08,50.89,21.34,49.68,22.74,273.68,30.02,8.8,77.43,27.07,12.08,22.75,18.2,5.65,11.88,23.22,11.25
Healthy soybean,102.37,29.09,237.22,76.98,50.27,76.98,20.27,43.9,19.43,305.54,35.26,15.3,65.14,24.81,11.91,25.27,15.58,6.73,14.25,14.46,17.12
Healthy soybean,84.05,29.19,225.98,51.78,56.21,51.78,20.06,45.61,26.58,391.8,27.35,13.9,91,24.76,15.41,21.61,17.97,4.7,9.45,19,20.53
Healthy soybean,61.54,23.48,224.66,52.25,59.02,52.25,16.16,58.23,24.91,316.73,39.63,16.59,99,23.47,15.03,24.23,14.32,7.15,18.93,23.05,17.47
Healthy soybean,90.58,39.02,223.09,79.82,94.77,79.82,13.28,41.35,22.25,309.46,37.99,9.44,69.49,24.15,20.41,26.21,19.51,1.91,13.71,16.34,20.57
Healthy soybean,94.95,24.26,147.39,50.15,71.44,50.15,16.02,44,20.71,256,39.32,15.89,64.2,24.18,13.68,27.34,16.84,5.6,17.59,16.48,13.93
Healthy soybean,70.44,31.54,200.44,71.68,99.07,71.68,22.63,34.38,23.97,404,44.83,9.82,95.55,27.81,17.77,21.63,13.21,5.09,14.41,14.06,11.92
Healthy soybean,53.63,37.39,168.91,93.71,68.38,93.71,16.22,44.89,27.85,350,49.87,12.56,51.9,20.35,18.13,22.68,11.55,10.03,16.21,23.71,18.37
Healthy soybean,43,25.53,213.5,70.97,79.23,70.97,16.28,59.96,23.73,373.38,49.41,15.54,65.38,26.13,13.13,28.9,13.79,10.3,16.4,19.06,20.43
Healthy soybean,51.68,29.01,215.38,51.71,71.45,51.71,14.27,54.56,24.31,299,45.01,7.87,88.4,24.28,16.67,22.77,12.71,9.19,13.93,17.38,17.86
Healthy soybean,92.33,35.01,178.72,61.84,74.64,61.84,13.83,49.36,26.38,335.55,24.5,11.42,56.78,28.56,15.08,24.36,12.38,3.04,15.72,20.61,20.55
Healthy soybean,61,28.16,200.4,77.8,95.16,77.8,19.65,47.6,26.8,264,20.46,9.55,67.29,24.35,14.9,28.3,16.66,2.06,15.8,17.81,19.3
Healthy soybean,104.88,27.88,187.29,66.08,92.26,66.08,21.49,30.79,23.51,342,50.28,12.78,73.4,27.34,15.97,21.39,18.1,4.39,13.95,17.6,14.96
Healthy soybean,70.73,31.06,212.2,93.27,53.47,93.27,18.77,56.28,24.21,212.65,49.19,9.9,56.6,28.59,20.71,27.69,18.79,7.35,11.54,18.63,14.39
Healthy soybean,72.77,29.63,174.69,85.16,51.3,85.16,16.2,49.23,25.86,303.15,47.79,11.86,81.16,28.14,14.3,29.61,19.49,5.68,10.2,16.16,11
Healthy soybean,58.63,38.73,188.36,51.85,61.2,51.85,19.22,52,24.95,219.09,39.05,8.24,63.98,22.64,19.17,21.67,11.67,10.47,18.88,21.45,16.69
Healthy soybean,61.35,33.15,152.26,79.91,87.78,79.91,15.11,31.08,20.09,339.85,27.43,8.98,86.25,23.72,16.06,27.46,18.17,7.61,9.43,14.36,15.27
Healthy soybean,82.57,31.82,222.83,96.74,74.68,96.74,21.03,38.19,26.99,316.23,21.37,8.73,61.2,26.6,12.8,24.89,15.98,9.88,17.8,17.92,16.3
Healthy soybean,43.1,33.7,216.72,60.55,67.7,60.55,15.48,36.33,25.89,243.73,40.57,12.44,74.26,22.28,14.6,24.8,19.43,1.79,14.7,15.68,16.85
Healthy soybean,74.01,25.29,183,86.66,87.44,86.66,17.61,52.79,25.57,358,21.85,10.16,78.48,27.97,18.84,25.68,20.49,4.98,10.31,15.31,11.94
Healthy soybean,46,26.04,192,94.11,55.36,94.11,18.21,59.79,22.39,266.7,47.62,15.76,79,20.41,18.34,24.58,14.74,3.78,16.36,16.25,13.12
Healthy soybean,104.09,32.63,189.43,80.4,68.49,80.4,15.07,55.23,20.4,213.67,39.06,13.37,72.83,20.72,19.65,22.97,18.95,1.43,11.38,15.12,16.71
Healthy soybean,83.77,22.72,143.35,98.66,87.95,98.66,22.9,32.55,26.43,215.98,33.69,15.83,94.9,26.14,13.43,28.96,17,2.58,18.46,22.66,11.84
Healthy soybean,81.86,24.7,156.24,70.37,83.73,70.37,15.8,38.37,25.94,217.61,23.94,14.48,64,21.33,13.18,24.63,20.28,8.91,18.5,22.74,13.97
Healthy soybean,96.55,23.43,215.54,79.68,56.64,79.68,14.82,31.49,20.62,406.82,30.28,12.17,79.6,28.74,11.78,26.22,18.89,6.92,18.58,17.68,11.23
Healthy soybean,44,22.8,185.42,69.3,93.98,69.3,20.07,56.83,24.58,305,27.99,11.25,90.63,22.43,18.47,25.39,15.7,3.55,11.29,18.74,18.09
Healthy soybean,62.39,38.57,185.25,64.36,83.72,64.36,21.92,55.46,19.42,216.72,35.77,16.35,65.84,23.92,16.46,21.84,14.55,8.32,11.63,14.93,13.55
Healthy soybean,51.88,22.12,152.9,65.38,50.52,65.38,14.66,45.29,19.64,290.48,45.98,7.13,87.6,23.3,18.14,25.19,20.91,9.06,15.52,15.27,18.04
Healthy soybean,56.22,24.44,170.89,77.28,72.81,77.28,13.49,33.67,25.32,395.04,28.04,10.88,83.12,21.54,18.98,21.54,12.18,1.26,10.51,14.37,11.03
Healthy soybean,46.2,37.99,239.81,54.49,63.15,54.49,17.11,54.89,19.58,310,21.94,9.51,57.29,22.04,15.75,22.51,11.05,5.17,12.1,19.07,18.86
Healthy soybean,61.11,23.95,163.82,76.61,65.7,76.61,21.51,49.79,18.07,384.93,22.37,12.85,74.12,20.02,17.53,30.31,20.63,4.4,14.15,15.91,16.47
Healthy soybean,40.21,28.22,196.19,81.17,54.6,81.17,19.52,54.32,25.71,372.75,43.25,11.79,84.83,27.28,12.39,30.89,20.32,10.34,17.82,23.93,13.47
Healthy soybean,58.01,29.29,149.71,92.6,87.49,92.6,22.57,33.99,24.94,379.51,42.55,16.92,72.2,27.32,12.09,28.89,14.94,5.24,10.75,22.93,18.93
Healthy soybean,83.87,29.98,174.54,75.33,61.77,75.33,22.43,48.94,19.7,376.35,32.96,15.74,53.29,20.54,15.48,23.17,19.25,10.29,15.66,21.34,20.41
Healthy soybean,60.72,34.84,166.99,92.39,83.74,92.39,13.63,52.96,22.89,364,30.26,7.22,72.86,25.89,18.71,22.76,11.51,1.57,17.85,15.7,20.6
Healthy soybean,54.18,24.28,197.89,89.32,67.58,89.32,19.88,34.25,23.7,407.42,30.07,16.68,91.21,26.79,14.64,24.46,15.75,3.35,10.15,23.02,15.97
Healthy soybean,89.55,23.55,182.77,94.56,60.51,94.56,13.9,45.55,21.84,378.82,27.48,15.52,74.35,29.97,15.05,27.1,12.53,9.38,14.28,19.55,14.85
Healthy soybean,65.82,28.83,168.72,92.88,76.01,92.88,18.19,30.09,26.82,402.23,39.89,13.89,76.77,27.08,15.7,27.43,13.47,1.3,13.27,18.06,20.22
Healthy soybean,61.07,37.41,141.47,77.3,89.49,77.3,22.72,43.08,24.9,306.93,20.51,14.79,89.93,20.08,17.36,22.11,16.2,7.28,13.06,20.48,15.03
Healthy soybean,64.83,29.12,186.91,53.96,57.27,53.96,14.91,39.13,24.87,347.97,39.81,12.83,67.48,23.48,17.69,27.29,18.99,4.16,12.76,14.64,11.28
Healthy soybean,101.31,30.1,158.92,57.05,75.98,57.05,13.43,56.17,24.54,408,46.74,8.4,88.9,25.61,13.12,23.99,19.87,3.33,11.52,20.17,20.81
Healthy soybean,70.96,26.42,228.56,87.93,96.56,87.93,17.6,36.74,25.68,396.73,22.58,13.87,50.15,29.6,11.73,27.39,15.29,5.2,9.32,16.5,18.74
Healthy soybean,41.97,24.58,168.21,58.16,62.92,58.16,19.74,59.62,26.32,326.62,35.07,7.77,88.07,26.52,13.27,23.56,20.19,2.82,10.72,23.01,18.01
Healthy soybean,104.7,27,190.4,61.98,55.71,61.98,13.52,31.34,20,339.78,45.97,15.48,97.63,20.05,11.74,27.36,12.61,6.12,14.81,20.05,11.09
Healthy soybean,85.42,29.94,221.21,91.91,63.14,91.91,23.2,58.4,20.56,315,34.42,14.34,63.63,22.45,11.17,29.65,17.89,2.41,13.89,19.8,17.93
Healthy soybean,67.03,30.59,236.17,88.24,98.77,88.24,15.78,57.28,26.17,323,48.91,13.33,78.27,22.13,17.97,29.72,19.21,4.1,13.4,22.33,13.58
Healthy soybean,70,36.9,204.15,64.38,91,64.38,20.41,51.09,19.47,250,38.77,14.11,74.1,28.06,14.99,30.33,15.96,8.85,10.02,18.16,17.6
Healthy soybean,103.52,33.25,192.12,92.67,60.32,92.67,21.95,56.01,21.22,239.4,45.59,13.63,65.6,27.61,14.35,25.48,20.55,3.5,15.35,14.26,19.73
Healthy soybean,90.1,25.41,193.64,78.78,86.22,78.78,15.68,51.2,19.93,289.93,27.88,12.32,52.36,25.15,15.34,22.98,18.39,6.57,14.91,19.29,18.89
Healthy soybean,68.5,36.42,205.49,98.47,93.95,98.47,19.71,38.9,22.38,318,49.77,16.82,94.8,20.39,20.27,27.81,21,5.63,10.65,16.11,17.65
Healthy soybean,101.73,31.13,215.77,99.49,92.67,99.49,18.58,55.36,18.74,343.56,39.26,11.14,87.69,25.66,11.88,27.52,14.99,9.79,15.78,22.9,15.14
Healthy soybean,56.16,35.93,147.8,75.88,70.04,75.88,21.89,48.42,22.97,234.62,27.57,9.43,50.89,23.79,16.18,25.13,15.66,4.43,10.91,15.07,17.02
Healthy soybean,97.47,32.39,169.04,56.6,65.74,56.6,16.56,34.58,24.68,346.47,25.56,13.43,51.11,22.77,20.76,28.36,12.85,10.72,12.44,20.09,20.35
Healthy soybean,54.78,39.95,216.53,75.68,57.19,75.68,13.97,53.91,20.87,317.37,33.22,7.33,97.42,24.9,13.23,27.75,12.2,6.65,13.37,20.43,15.25
Healthy soybean,64.33,25.98,140.85,86.48,53.11,86.48,19.57,41.01,27.65,368,36.9,14.37,69.93,25.96,17.46,24.43,15.57,10.01,10.56,23.15,19.21
Healthy soybean,92.78,35.91,220.46,54.45,92.22,54.45,22.49,31.11,19.67,253.84,47.43,13.99,78.58,28.16,18.75,30.61,11.65,4.35,17.53,16.17,14.99
Healthy soybean,66.04,22.25,167.03,96.53,61.44,96.53,17.47,59,21.87,244.33,41.97,12.86,54.82,20.61,18.03,21.6,20.74,8.78,14.84,16.19,11.59
Healthy soybean,95.84,36.38,232.07,59.88,62.82,59.88,20.76,54.03,25.28,226.16,48.24,16.22,52.08,22.68,11.12,27.3,19.58,5.91,11.97,18.31,12.01
Healthy soybean,100.74,25.16,147,96.87,52.8,96.87,22.23,50.41,26.92,378.37,26.18,7.64,66.11,28.4,18.79,30.13,18.63,5.28,18.78,16.1,14.77
Healthy soybean,92.95,30.81,212.89,80.47,50.81,80.47,18.03,57.41,25.39,353.44,35.96,16.93,92.41,25.35,20.84,26.17,11.5,2.85,12.08,19.83,18.26
Healthy soybean,54.39,23.11,235.72,80.94,83.01,80.94,16.09,39.6,25.38,266.82,40.68,10.15,76.79,29.88,14.04,25.88,17.96,4.58,15.62,22.49,11.48
Healthy soybean,81.78,36.05,239.23,95.34,79.04,95.34,19.51,52.97,24.99,265.2,28.03,13.38,73.45,21.79,19.19,21.76,20.46,3.93,18.51,14.1,14.52
Healthy soybean,101.4,24.97,188.67,62.59,92.4,62.59,15.7,47.37,24.23,223.7,25.49,15.58,71.57,23.21,15.86,26.2,11.53,6.84,18.56,14.41,17.07
Healthy soybean,69.29,28.71,157.64,57.04,59.47,57.04,18.93,46.46,27.77,241.22,44.08,9.56,70.9,23.6,20.17,28.7,11.19,5,18.2,20.67,20.73
Healthy soybean,72.93,23.21,151.46,79.93,69.02,79.93,16.46,46.95,27.53,392.72,37.75,12.33,89,23.57,19.89,26.25,18.15,5.18,12.57,23.07,16.35
Healthy soybean,73.03,40.27,227,71.25,63.53,71.25,20.01,36.03,21.79,331,36.68,7.4,57.04,20.47,17.84,25.4,12.66,2.44,11.35,22.21,19.34
Healthy soybean,57.44,31.93,198.13,83.06,51.52,83.06,14.85,45.96,19.37,257.99,34.09,9.69,82.58,26.57,18.64,27.49,11.75,4.97,14.05,16.45,14.06
Healthy soybean,106,26.18,150.24,89.99,78.45,89.99,16.49,34.4,18.36,372,44.1,8.32,86.59,22.37,13.7,21.91,15.12,8.16,10.37,15.59,11.68
Healthy soybean,101.93,37.47,172.33,93.63,64.89,93.63,21.66,47.14,26.63,285.15,20.79,9.78,97.14,29.34,16.19,26.29,20.47,8.46,17.01,22.99,19.58
Healthy soybean,94.18,24.39,148.67,60.58,62.57,60.58,13.91,35.22,21.32,307.52,25.83,13.98,87.24,20.8,16.8,24.32,16,2.01,13.63,20.52,14.12
Healthy soybean,71.53,34.81,165.73,61.61,99.6,61.61,22.42,38.32,25.66,370.09,28.82,15.62,52.26,20.64,14.31,29.06,20.26,5.58,16.64,19.16,12.04
Healthy soybean,52.24,38.37,238.51,71.29,86.3,71.29,15.41,57.56,25.44,299.85,21.59,9.11,60.13,20,18.69,26.51,15.37,1.25,10.42,23.44,20
Healthy soybean,102.68,24.49,145.12,74.59,70.7,74.59,20.51,54.74,25.46,323.01,48.7,16.7,74.43,23.41,13.98,25.49,11.36,5.82,16.89,16.24,15.87
Healthy soybean,59,34.03,230.12,67.29,86.84,67.29,19.8,35.38,26.07,225.94,40,16.67,51.24,28.69,13.47,23.44,17.25,1.84,12.01,18.81,16.39
Healthy soybean,102.06,25.84,160.03,91.21,51.4,91.21,14.74,44.05,21.75,319.34,46.49,12.5,94.24,24.94,18.92,28.4,13.02,1.4,16.24,22.96,14.02
Healthy soybean,70.5,35.41,158.54,72.86,64.38,72.86,21.75,39.57,22.31,229,46.31,9.5,57.23,21.88,15.93,28.94,16.8,7.4,15.37,19.36,19.82
Healthy soybean,52.21,31.19,196.52,88.9,89.41,88.9,17.01,40.7,21.71,231.38,26.81,9.19,52.88,21.38,11.75,27.76,13.5,9.69,16.2,16.51,20.67
Healthy soybean,80.34,37.55,141.87,68.21,50.51,68.21,14.08,38.08,23,397.23,20.39,15.56,92.88,27.11,20.96,30.98,14.86,1.14,13.9,23.97,18.79
Healthy soybean,90.87,24.78,164.12,65.55,51,65.55,19.28,33.88,26.36,326.18,40.97,16.47,63.09,25.84,15.62,27.51,11.94,1.56,9.71,21.23,18.85
Healthy soybean,56.39,22.36,188.1,74.26,88.63,74.26,15.15,53.55,26.75,272.22,41.09,11.92,56.04,22.4,16.7,23.6,16.29,2.87,12,16.76,13.03
Healthy soybean,93.39,32.64,147.79,57.27,54.17,57.27,21.85,48.23,25.19,315.61,34.43,13.52,60.12,20.2,15.39,28.25,13.46,5.49,15.91,16.81,15.85
Healthy soybean,70.21,28.48,175,62.12,57.51,62.12,15.72,37.24,26.69,241.94,36.12,14.3,93.96,21.84,13.85,23.51,18.75,8.79,12.38,19.31,11.45
Healthy soybean,55.56,31.96,161.85,95.36,93.33,95.36,21.54,46.2,19.87,213.42,50.63,11.11,57.13,28.96,12.87,28.31,11.38,1.94,14.89,19.6,18.12
Healthy soybean,47.8,37.05,182.13,60.83,91.95,60.83,21.18,57.1,18.63,346.61,45.57,10.37,90.23,26.46,20.21,26.85,12.14,9.08,12.59,16.56,19.93
Healthy soybean,63.45,31.83,210.78,58.7,62.65,58.7,16.24,37.86,21.21,270.38,43.24,14.54,75.67,28.42,13.2,24.9,14.4,10.91,17.84,22.53,13.53
Healthy soybean,77.13,22.29,203.59,82.02,71.3,82.02,19.7,55.26,20.29,381.6,38.55,15.94,86.4,23.82,11.94,25.46,12.4,2.31,10.69,15.95,19.17
Healthy soybean,81.81,36.29,235.79,50.95,78.76,50.95,23.4,48.05,26.76,279.34,27.86,11.84,88.56,26.92,20.03,23.11,12.37,3.44,18.95,23.06,15.73
Healthy soybean,79,33.96,144.5,98.36,88.84,98.36,15.21,32.96,18.71,271.92,30.62,9.03,64.36,21.67,13.06,22.5,17.47,1.8,13.42,21.64,11.99
Healthy soybean,73.84,27.48,151.65,94.76,85.34,94.76,23.8,56.41,27.01,224.64,32.05,12.29,67.83,28.04,13.74,21.29,18.31,6.35,11.16,19.13,16.01
Healthy soybean,102.25,38.36,141.56,75.36,88.76,75.36,13.89,34.39,22,282,34.3,12.14,75.97,28.7,16.79,22.57,13.89,5.52,16.72,20.38,19.36
Healthy soybean,93.73,30.37,184.63,50,67.27,50,19.15,41.62,23.13,361.15,40.06,16.64,57.45,22.89,14.71,29.4,13.23,6.95,13.69,18.85,15.9
Healthy soybean,54.01,33.88,148.43,88.72,80.83,88.72,20.61,40.87,20.88,402.84,46.73,10.03,70.09,25.63,11.2,28.42,18.06,7.72,16.3,16.41,14.14
Healthy soybean,72.76,23.39,141.24,80.67,55.45,80.67,14.47,46.91,24.43,231.83,39.83,9.09,94.29,25.25,17.06,25.61,15.54,6.03,10.32,23.83,16.77
Healthy soybean,74.7,24.01,220.82,85.09,59.1,85.09,13.53,45.64,25.17,358.12,24.19,15.2,75.14,25.32,13.01,23.57,17.79,4.2,18.74,23.74,20.07
Healthy soybean,66.23,39.01,166.66,72.63,80.19,72.63,16.29,35.91,25.93,391.42,40.34,11.03,80.62,23.96,19.83,26.3,12.1,4.95,11.08,16.79,13.24
Healthy soybean,76.03,25.03,157.03,55.37,75.82,55.37,14.51,53.21,19.98,212.72,29.34,9.49,69.85,20.96,13.09,30.25,19.6,1.77,9.63,16.6,14.81
Healthy soybean,91.24,27.05,228.06,52.06,86.51,52.06,22.89,47.97,23.21,221.48,49.28,7.16,79.09,22.06,15.55,21.72,13.06,4.49,10.25,16.13,19.99
Healthy soybean,73.38,27.01,190.35,88.4,96.02,88.4,15.57,42.42,21.1,217.47,25.87,9.45,79.63,26.8,20.5,30.66,20.24,1.07,11.94,19.46,13.5
Healthy soybean,84,30.73,160.48,94.29,79.47,94.29,17.23,40.56,27.44,245.92,32.99,7.98,74.07,22.03,18.54,22.31,13.1,8.52,14.07,17.18,12.6
Healthy soybean,93.23,37.16,206.86,65.81,50.23,65.81,21.53,58.48,19.99,355.14,32.61,11.91,89.84,20.29,17.85,21.78,20.37,10.99,11.72,14.91,20.49
Healthy soybean,54.15,36.74,211.49,85.65,76,85.65,20.43,55.66,18.8,258.1,27,9.6,68.97,27.37,15.54,24.99,14.2,3.17,12.92,22.8,12.84
Healthy soybean,71.25,30.55,229.82,73.4,75.13,73.4,16.68,40.37,24.64,329.59,32.75,10.97,91.63,29.25,19.68,23.19,18.29,7.73,16.18,19.35,12.28
Healthy soybean,109.27,22.23,160.5,97.95,84.19,97.95,17.25,43.77,26.12,229.25,36.26,9.94,59.46,29.05,15.45,28.98,20.61,1.92,12.17,16.63,17.2
Healthy soybean,57.56,29.85,179.49,56.68,70.16,56.68,22.44,52.87,19.77,301.35,25.36,14.23,85.72,29.17,20.02,25.18,20.89,3.83,15.29,23.11,16.74
Healthy soybean,76.63,31.46,200.15,64.2,71.85,64.2,15.12,59.47,23.57,386.08,45.32,12.47,95.76,20.87,15.38,25.91,11.92,2.74,15.22,21.37,19.96
Healthy soybean,68.17,23.75,224.24,91.12,59.65,91.12,18.4,41.63,24.16,327.78,23.26,12.31,58.5,22.8,15.19,29.63,14.34,5.71,16.01,23.26,13.82
Healthy soybean,103.13,37.44,190.68,85.13,89.53,85.13,17.69,58.43,19.26,291,29.04,13.62,95.82,22.71,18.15,23.4,14.6,5.38,15.63,19.7,11.27
Healthy soybean,71.05,24.05,214.18,69.6,96.12,69.6,13.44,44.65,21.69,291.15,34.59,8.74,99.3,28.22,15.42,24.9,15.24,6.62,15.75,20.66,15.57
Healthy soybean,60.2,28.33,176.56,72.2,89.82,72.2,15.24,47.23,25.33,371.23,20.38,15.24,88.89,22.27,18.91,26.48,16.68,8.47,13.87,15.56,13.74
Healthy soybean,90.06,25.74,181.4,55.28,51.2,55.28,14.45,58.47,20.06,340,46.34,11.6,51.96,26.58,14.33,27.86,14.58,7.52,9.04,20.75,12.15
Healthy soybean,59.6,27.06,213.74,89.19,60.26,89.19,13.08,56.06,24.04,335.47,29.44,13,66.06,22.15,17.8,27.98,16.88,1.32,11.87,20.77,16.29
Healthy soybean,64.77,26.47,158.77,84.26,90.33,84.26,16.93,33.56,24.84,405.84,20.4,15.85,87.62,29.77,19.42,27.56,11.24,9.45,15.73,19.69,11.8
Healthy soybean,93.66,37.82,151.3,82,66.98,82,15.66,48.25,26.81,283.42,36.58,14.41,99.77,26.59,11.3,24.7,16.6,1.22,13.7,22.63,12.62
Healthy soybean,73.12,29,232.4,60.59,68.12,60.59,13.33,51.62,20.98,280.38,29.11,14.8,87.12,24.83,13.53,26.28,11.66,8.06,16.42,17.78,15.42
Healthy soybean,74.03,28.08,236.1,98.72,97.68,98.72,13.24,38.01,24.78,282.99,27.37,8.71,73.89,20.34,12.23,21.3,13.38,9.96,11.45,23.73,14.19
Healthy soybean,75.97,37.63,226.68,54.68,94.64,54.68,19.9,45,23.18,215.45,33.15,10.73,52.74,21.35,14.87,29.08,14.45,4,15.6,21.16,17.04
Healthy soybean,63.95,22.05,221.14,59.02,54.76,59.02,13.76,30.87,26.73,347,41.32,9.71,73.25,20.59,14.19,23.39,20.2,4.18,12.09,15.04,20.21
Healthy soybean,80.61,22,156.23,73,62.61,73,15.86,37,23.67,340.27,26.07,16.65,85.13,24.34,12.75,24.56,19.48,1.41,17.33,14.52,20.01
Healthy soybean,104.71,32.68,179.76,91.18,92.63,91.18,19.72,55.55,18.64,272.44,30.6,10.04,82.06,26.1,12.35,29.29,17.37,4.3,14.3,22.01,18.34
Healthy soybean,40.73,25.79,140.2,55.4,74.75,55.4,18.69,50.56,19.84,251.53,37.98,13.06,66.26,24.7,17.7,29.71,20.99,9.85,12.72,18.49,18.92
Healthy soybean,59.09,39.55,215.51,68.24,80.88,68.24,20.12,51.32,25.16,224.9,36.22,10.24,78.98,20.6,20.92,27.61,13.86,4.81,14.27,18.67,15.15
Healthy soybean,51.66,26,187.02,87.35,64.59,87.35,15.39,45.05,24.77,263,20.48,15.68,90.41,23.74,12.01,23.3,13.2,1,15.45,21.99,13.66
Healthy soybean,60.64,26.27,222,76.92,77.93,76.92,16.98,49.76,21.24,347.42,50.37,11.66,93.95,25.6,13.69,25.83,14.82,8.81,13.02,21.68,18.43
Healthy soybean,105.58,25.2,197.05,97.89,86.6,97.89,13.88,57.4,26.2,264.57,37.85,14.55,86.07,22.9,15.87,25.15,14.44,6.67,17.77,20.82,15.49
Healthy soybean,104.78,40.78,170.16,67.65,64.73,67.65,21.01,42.73,26.48,367.76,26.91,15.5,60.89,27.2,15.72,24.68,19.71,3.29,18.25,21.42,20.77
Healthy soybean,104.91,36.59,239.91,84.01,97.5,84.01,16.08,44.46,20.9,401.29,37.51,12.99,67.75,26.7,13.66,25.44,17.21,2.55,13.3,20.91,17.64
Healthy soybean,51.97,24.22,227.46,65.64,73.39,65.64,14.44,50.92,19.38,394.5,23.83,13.45,71.15,27.49,16.31,21.33,17.71,2.17,16.33,17.25,11.18
Healthy soybean,73.43,38.12,146.44,76.9,66.04,76.9,13.93,34.84,21.3,333,35.36,8.97,61.84,24.88,16.05,30.62,17.26,5.47,11.85,17.05,18.64
Healthy soybean,103.67,22.5,221.57,83.94,57.2,83.94,22.92,42.98,21.23,243.71,29.67,16.27,75.33,22.56,14.51,27.93,11.9,10.63,10.48,21.67,15.26
Healthy soybean,103.84,22.62,211,81,83.68,81,21.99,34.92,20.43,339.33,44.75,14.4,87.56,29.64,17.68,24.47,12.08,5.45,18.96,23.48,13.95
Healthy soybean,72.71,29.32,201.09,89.56,54.01,89.56,16.97,49.42,25.25,373.35,36,12.54,65.59,20.66,15.8,27.78,19.28,7.24,13.26,16.21,19
Healthy soybean,71.87,22.73,202.71,62.15,75.88,62.15,21.1,45.65,20.6,334.58,35.4,8.21,80.75,22,14.73,30.97,15.47,6.51,14.61,17.69,16.48
Healthy soybean,74.24,33.38,142.78,87,84.25,87,20.59,40.46,19.35,354.46,39.79,9.39,65.09,20.5,12.81,23.73,19.53,6.06,12.58,19.64,16.88
Healthy soybean,70.6,38.13,155.77,81.72,78.84,81.72,22.12,47.35,22.69,377.76,47.13,15.8,71.85,20.38,11.41,30.81,15.95,10.56,10.52,15.73,14.16
Healthy soybean,95.02,25.78,151,96.24,84.37,96.24,22.87,32.33,23.39,264.72,39.6,7.95,91.13,25.62,12.15,23.76,12.35,3.85,9.09,22.47,12.61
Healthy soybean,55.76,22.45,142.42,93.34,97.82,93.34,19.5,41.7,27.75,251.03,48.34,12.63,64.91,21.99,15.24,24.73,18.5,4.61,10.23,23.53,11.6
Healthy soybean,94.19,30.75,164.06,72.03,69,72.03,19.44,49.08,22.64,245.37,48.85,12.1,98.36,25.49,13.35,30.35,14.85,8.63,17.38,17.45,18.3
Healthy soybean,50.97,24.33,190.86,59.62,68.19,59.62,16.67,37.87,23.22,265.23,29.79,16.3,66.05,23.33,11.22,22.56,17.12,9.28,18.55,20.59,15.74
