,Stem length (cm),Root length (cm),Thousand  Seed weight (g),Geramination (%),Poods per plant (number),Stem bark thickness (mm),Root bark thickness (mm),Protein content  %,Seed oil content (%),Seed yield (g ),Chlorophyll (mg/g ),Seed shrinkage (%),Amount of greenness (%),Stem fresh weight (g), Stem dry  weight (g),Root fresh weight (mg),Root dry weight (mg),Empty Seeds per pods (٪),Empty pods per plant  (%),Seedling fresh weight (g),Seedling dry weight (g)
Infection plant,33.79,12.39,108.76,17.49,25.7,16.18,12.43,28.18,12.87,128.46,14.5,17.81,37.41,17.4,2.08,11.25,10.93,18.63,67.93,4.51,1.65
Infection plant,30.75,14.33,87.83,37.62,20.66,20.11,9.9,21.08,11.21,186.96,14.11,17.61,33.46,12.29,1.72,18.36,4.29,51.85,99.54,10.35,9.52
Infection plant,30.1,21.76,134.7,20.68,48.9,18.62,10.88,24.82,14.96,138.82,17.69,25.38,26.53,19.8,1.22,13.82,5.48,73.76,39.47,13.88,6.98
Infection plant,35.78,20.92,129.16,37.34,39.75,25.56,11.64,20.02,10.75,174.7,12.95,17.7,49.09,16.61,4.16,15.31,1.97,44.48,28.14,11.8,2.86
Infection plant,39.88,16.6,134.43,44.46,23.28,25,8.32,18.59,11.11,141.35,15.91,17.32,11.42,11,3.87,14.5,9.61,60.49,79.6,9.57,5.01
Infection plant,36.93,21.83,132.74,33.46,39.22,22.95,8.95,22.79,12.49,119.54,17.51,20.49,35.98,12.83,4.67,16.45,7.92,54.34,61.83,10.68,7.88
Infection plant,38.71,14.12,93,25.43,45.08,18.94,3.47,17.18,12.31,198.05,17.8,24.04,30.39,12.87,1.38,11.95,2.91,22,88.31,9.4,4.19
Infection plant,31.82,18.12,94.08,30.81,48.42,22.17,11.27,17.27,9.45,124.9,13.3,21.53,25.84,19.09,8.62,12.57,4.57,67,55.29,7.45,8.64
Infection plant,36.78,21.53,106,31.42,41.45,18.76,9.6,23.14,16.41,131.7,14.57,26.7,47.76,16.6,9.95,19.62,3.92,96.04,71,8.55,8.43
Infection plant,36.62,12.06,115.77,28.49,26.43,17.49,6.69,24.53,11.64,154,9.86,19.81,39.81,19.28,3.48,13.96,4.5,73.79,59.24,5.87,1.79
Infection plant,35.9,13.8,135.84,23.4,41.88,17.06,3.85,29.5,13.89,120,19.87,17.12,39.68,14.97,7.37,16.84,2.87,77.62,92.21,8.67,8.71
Infection plant,35.35,14.79,95,36.58,20.68,18.63,12.74,28.12,13.07,154.14,8.32,26.44,15.53,12.9,2.97,12.05,9.36,32.04,55.4,12.23,3.56
Infection plant,37.28,17.63,125.66,36.07,23.65,19.96,12.66,18.51,10.77,154.45,14.88,18.37,49.16,17.83,8.27,18.27,9.24,83,76.73,7.13,6.62
Infection plant,36.7,12.69,95.26,26.66,38.97,17.47,9.17,29.56,14.02,142.55,14.05,26.72,49.97,14.6,9.46,13.02,9.22,55.34,82.22,9.04,3.46
Infection plant,33.82,20.89,84.27,36,26.35,21.93,8.18,14.1,9.74,162.81,8.96,18.74,35.22,12.71,2.43,12.14,4.34,15.31,56.44,12.03,10.22
Infection plant,39.26,14.24,94.29,45.59,40.93,23.58,3.81,26.49,10.95,126.85,9.27,24.11,26.57,16.18,9.66,14.05,2.78,75.89,21.48,9.09,9.3
Infection plant,39.56,12.52,129.88,38.29,46.34,18.06,9.09,29.73,12.63,199.95,12.99,24.13,49.63,13.22,7.56,13.2,4.87,33.63,61.48,6.84,10.6
Infection plant,31.86,14.3,102.02,43.8,41.64,22.85,8.97,18.06,10.66,185.86,8.81,25.15,37.8,10.02,9.31,20.32,7.02,25.95,54.24,13.08,2.41
Infection plant,34.27,14.01,127.58,36.43,30.45,17.16,4.46,16.82,11.02,185.14,12.87,21.92,28.29,11.53,4.13,15.51,6.76,43.78,34,8.22,1.31
Infection plant,37.37,19.85,91.89,45.13,44.33,24.57,7.67,17.24,15.43,169.13,9.77,21.95,43.36,17.12,9.63,14.04,9.18,40.44,54.17,6.2,5.11
Infection plant,37.27,17.36,128.84,30.36,49.32,24.91,9.72,27.31,16.23,201.99,12.59,21.96,23.48,13.19,3.84,16.24,5.61,55.1,56.11,4.84,6.06
Infection plant,31.41,14.26,104.7,41.54,21.7,20.48,4.85,16.5,16.63,151.55,9.96,22.6,16,16.28,7.06,14.06,1.66,55.4,96.31,4.8,9.19
Infection plant,38.18,17.72,93.01,20.16,45.5,16.12,6,28.43,14.15,161.26,10.55,19.25,24.09,10.74,2.92,18.76,9.14,87.81,68.64,10.54,7.69
Infection plant,30.18,15.74,105,30.86,39.61,22.99,7.89,17.44,11.16,187.97,14.95,26.85,26.16,12.31,2.15,16.82,6.21,14.38,73.16,6.08,3.38
Infection plant,39.1,14.96,99.99,25.03,38.14,16.64,9.37,14.6,12.41,195.41,9.51,23.25,24.41,15.89,10.18,19.16,5.23,94.47,32.99,7.06,2.88
Infection plant,34.13,14.77,128.66,40.17,48.04,25.44,12.96,20.25,15.26,196,14.25,21.74,28.66,17.37,6.78,19.06,6.55,19.92,46.28,6.81,9.26
Infection plant,37.78,19.13,88.36,24.52,49.36,19.27,5.41,22.34,17.61,190.16,16.26,25.74,46.45,15.39,5.02,17.63,1.27,94.4,40.62,12.95,9.23
Infection plant,34.4,13.68,110.82,43.35,26.51,24.94,10.24,25.81,9.81,113,18.74,26.38,32.14,19.73,5.76,17.58,5.81,84.15,29.76,12.05,7.3
Infection plant,31.77,20.13,120.18,19.55,32.7,22.45,9.28,17.53,17.31,178.92,10.75,26.95,39.31,10.26,5.11,12.6,10.77,87.79,25.98,10.15,4.51
Infection plant,30.61,16.94,85.51,45.77,43.16,19.57,5.76,15.46,16.47,150.17,9.04,22.14,19.62,16.42,2.46,13.35,8.63,60.03,32.08,11.7,4.57
Infection plant,38.55,12.35,89.98,10,21.4,17.12,5.85,16.44,16.2,153.76,13.47,21.44,43.41,16.29,6.57,18.79,10.58,20.71,95.07,8.54,2.51
Infection plant,37.72,13.66,131.38,22.38,21.84,20.15,9.77,22.81,14.08,182.93,15.06,25.96,28.81,11.4,4.77,16.34,2.74,17.91,85.4,11.4,8.1
Infection plant,35.32,17.74,132.79,31.46,47.35,22.33,8.58,29.02,14.3,123.58,10.9,23.15,20.5,14.81,4.37,12.46,3.14,64.2,55.31,9.19,6.68
Infection plant,34.74,21.13,80.09,34.42,37.44,23.83,9.78,20.48,13.53,186.54,13.96,20.28,19.17,14.53,5.53,17.62,6.9,78.8,72.45,6.33,5.88
Infection plant,38.59,16.02,125.99,24.22,27.65,19.28,7.63,21.91,14.05,184.32,13.26,18.02,46.02,19.1,2.88,20.82,2.55,96.07,93.56,4.74,1.67
Infection plant,37.43,12.56,95.84,13.54,36.81,25.05,10.12,29.66,16.73,184.13,8.61,22.17,11,12.17,7.84,16.27,9.76,24.99,54.29,5.98,5.41
Infection plant,32.74,19.14,97.43,25.76,32.28,16.99,10.49,17.68,15.23,136.24,17.96,18.06,43.21,13.18,1.87,13.04,8.94,19.75,67.77,4.83,4.92
Infection plant,37.79,13.55,94.53,15.74,41.95,17.44,8.56,15.35,17.99,167.07,17.21,25.91,37.92,17.34,2.67,14.38,10.17,30.23,39.58,4.86,7.29
Infection plant,39.76,19.43,95.28,49.64,45.12,24.53,3.99,26.38,12.66,132.2,17.46,22.72,12,11.28,8.26,15.67,5.98,61.79,55.65,8.5,10.78
Infection plant,36.97,14.94,98.56,21.54,36.21,20.22,4.29,21.53,13.73,133.59,13.08,21.52,22.27,15.45,4.72,13.34,8.27,52.29,55.27,13.96,7.22
Infection plant,37.76,16.84,94.21,33.32,20.38,24.63,8.64,20.39,14.64,113.46,9.09,18.04,29.17,12.99,2.99,13.66,8.5,55.46,92.19,6.25,8.03
Infection plant,39.47,19.37,109,39.83,36.37,22.65,6.23,27.88,16.57,198.34,15.9,22.82,27.98,18.01,6.48,16.08,7.11,48.53,48.47,4.17,10.73
Infection plant,30.29,12.4,80.91,28.14,49.52,25.21,4.28,17.16,14.04,123.31,11.05,17.88,29.93,17.15,3.52,15.97,4.55,26.85,81.75,4.02,7.21
Infection plant,39.95,12.78,139.18,48.64,25.52,16.03,4.32,15.34,14.09,119.7,9.14,18.67,12.18,18.18,3.74,11.17,2.76,36.59,41.68,6.7,8.49
Infection plant,34.41,19.35,92.76,32.64,39.37,25.87,3.06,24.69,14.24,149.47,8.85,17.45,37.29,15.36,6.45,13.53,4.85,55.41,55.6,12.35,5.95
Infection plant,30.88,17.78,121.21,23.92,31.19,21.67,11.34,23.21,16.35,164.68,11.19,24.77,41.86,14.99,7.38,20.53,7.93,62.67,30.5,4.48,2.48
Infection plant,37.4,20.09,128.1,17.21,34.68,18.74,8.69,17.5,15.21,134.22,12.96,19.99,42.4,19.82,3.96,14.61,10.81,55.8,98.84,11.54,1.18
Infection plant,35.07,16.5,123.06,15.42,48.47,23.42,3.9,19.09,12.79,206.29,11.77,21.02,21.75,18.22,9.53,15.16,7.39,44.82,69,8.01,5.59
Infection plant,35.86,12.22,134.69,25.87,46.18,22.41,12.36,24.74,8.22,154.86,8.51,19.11,28.6,11.52,4.26,11.48,8.32,55.69,34.01,11.48,4.84
Infection plant,36.54,17.71,126.02,37.83,48.07,20.62,12.39,26.36,9.82,192.41,8.03,21.84,38.42,13.87,4.86,12.91,5.85,55.74,70.38,11.85,9.44
Infection plant,36.43,21.3,117.76,16.03,43.41,20.93,3.29,23.46,9.75,133.11,14.91,19.53,48.31,15.78,3.22,15.76,8.77,48.08,42.9,4.32,5.75
Infection plant,31.12,21.5,133.64,32.19,21.29,20.12,12.15,18.19,15.77,170.97,12.03,20.54,17,19.66,1.32,16.32,6.66,55.77,84.84,9.5,3.53
Infection plant,35.11,13.96,80.75,46.07,26.68,22.35,6.4,23.78,10.69,205.55,16.79,17.8,47,15.24,4.14,19.66,3.2,53.61,32.51,10.32,3.89
Infection plant,32.31,16.34,130.06,22.49,45.02,18.91,3.67,28.15,11.38,199.49,11.73,26.74,20.48,18.17,8.89,19.93,4.93,93.5,26.3,7.59,4.59
Infection plant,39.57,13.63,134.6,27.58,33.23,22.25,12.14,20.69,9.64,202.46,13.64,24.48,48.11,16.35,10.95,14.17,8.57,55.71,95.88,7.24,1.4
Infection plant,37.08,14.58,82.78,15.09,45.71,22.87,9.8,25.72,13.38,176.35,14.79,17.06,18.67,19.33,9.29,19.56,10.62,49.67,75.28,5.21,1.3
Infection plant,30.11,14.99,99.74,48.88,49.96,16.69,9.43,27.2,11.1,197.01,14.22,17.14,14.81,13.52,2.09,19.72,8.65,57.17,54.66,5.14,3.28
Infection plant,32.21,14.03,113.73,45.97,29.29,25.5,6.58,25.99,9.29,206.94,15.86,26.55,34.44,12.95,10.16,15.75,3.44,55.44,56.99,4.59,8.69
Infection plant,33.04,19.36,82.26,26.05,47.85,16.47,5.08,20.23,15.5,155.51,18.5,23.02,21,10.29,9.22,19.38,10.95,86.29,71.08,10.48,10.8
Infection plant,34.87,16.87,84.82,29.86,39.39,16.86,4.7,27.64,9.38,129.84,15.69,25.79,30.02,15.75,3.53,16.92,2.08,49.93,85.16,11.92,4.4
Infection plant,36.85,21.87,127.28,46.27,23.66,25.54,5.14,17.7,11.83,115.48,14.93,24.99,39.2,17.1,3.08,19.91,7.08,71,23.16,6.95,6.47
Infection plant,39.22,16.57,134.09,21.4,23.42,20.94,7.71,28.26,13.12,115,11.31,25.02,23.24,16.21,7.81,19.83,5.6,71.92,55.03,13,3.29
Infection plant,30.06,21.61,134.27,42.03,45.99,22.92,5.11,14.87,9.9,156.16,19.52,17.57,43.75,14.27,5.88,20.03,5.26,37.04,23.67,9.08,10
Infection plant,39.54,17.28,110.23,42.14,46.92,23.03,6.35,17.85,11.93,146.41,9.84,26.3,16.88,10.11,7.82,16.5,10.66,86.8,54.36,5.32,2.07
Infection plant,36.4,15.7,137.71,22.27,49.13,21.43,6.25,14.76,15.81,179.69,14.47,23.21,49.62,17.5,8.92,11.58,8.73,55.23,76.85,12.25,5.16
Infection plant,33.87,20.76,96.92,10.48,25.02,18.55,7.78,17.14,16.56,143.4,9.47,24.01,26.09,12.85,5.26,20.13,5.41,29,38,11.28,5.46
Infection plant,38.33,19.39,120.38,15.94,36.74,18.45,5.92,16.71,12.76,184,15.59,24.87,26.33,12.37,4.2,12.97,2.81,45.75,47.45,6.43,7.76
Infection plant,35.2,19.1,87.49,49.18,22.89,20.2,6.63,19.84,9,114.25,9.67,19.6,10.58,12.06,4.15,17.36,10.97,19.32,48.8,5.72,4.88
Infection plant,36.27,19.2,130.83,38.27,24.72,17.86,12.32,19.1,8.39,142.67,12.02,26.84,45.59,19.16,5.55,15.6,4.76,55.63,69.09,7.64,10.95
Infection plant,37.44,18.46,128.34,35.91,49.38,17.83,9.98,20.89,10.56,171.13,14.67,20.02,49.18,19.7,5.37,19.8,10.78,89.38,55.46,8.03,2.55
Infection plant,34.94,15.97,124.23,33.84,21.52,23.88,5.17,14.61,8.9,199,15.12,18.88,17.72,11.05,8.79,17.71,6.43,82,53.26,6.48,2.79
Infection plant,38.92,17.61,92.32,32.07,22.2,18.47,8.57,16.78,10.16,118.13,10.58,22.86,28.14,18.23,6.17,12.62,6.96,60.69,44.22,10.91,10.74
Infection plant,30.79,19.99,115,37.54,39.51,17.3,4.73,22.03,14.7,156,15.96,20.47,20.26,14.24,1.02,11.7,8.56,74.61,34.31,4.66,3.35
Infection plant,34.68,14.82,124.91,37.6,29.68,24.28,4.57,26.25,13.61,196.93,12.91,19.93,20.32,13.83,5.64,19.1,1.23,21.38,64.29,10.61,8.3
Infection plant,37.69,19.44,100.73,26.57,29.4,18.52,6.52,18.68,8.61,159.69,8.26,25.48,19,15.62,7.88,18.97,8.8,29.86,55,12.66,5.67
Infection plant,37.42,14.92,93.27,20.7,48.6,25.51,4.42,29.49,9.89,184.99,14.48,17.54,18.81,11.08,10.61,12.82,6.06,67.04,37.38,9.94,7.02
Infection plant,38.03,18.78,83.66,11.58,32.82,17.9,12.72,18.55,9.99,205.02,12.69,21.51,47.32,17.64,9.38,14.24,2.07,91.19,99.42,4.36,1.55
Infection plant,32.28,12.77,96.8,10.37,46.12,16.48,7.87,24.84,9.72,112.28,20.48,23.07,46.65,17.39,1.9,12.68,10.41,55.85,97.99,10.1,9.33
Infection plant,33.81,15.51,135.94,18.45,33.68,25.84,10.91,25.84,16.13,120.48,11.26,24.75,32.57,18.11,10.62,15.14,9.83,23.99,66,7.23,8.93
Infection plant,31.61,15.92,122.12,48.22,27.23,17.4,12.71,25.82,16.7,165.69,8.76,26.24,19.6,16.64,7,20.73,3.11,21.25,55.14,9.47,1.52
Infection plant,33.2,17.6,136.51,19.7,30.74,22.76,12.12,24.63,8.29,123,15.3,26.54,21.89,15.25,8.86,14.09,7.78,81.71,66.44,4.23,8.87
Infection plant,35.82,21.08,124.11,48.02,33.46,17.34,9.16,29.68,9.3,145.91,10.04,21.62,26.83,13.56,4.45,14.55,7.17,48.6,27.61,11.1,3
Infection plant,35.62,21.04,130.41,49.56,35.11,22.55,11.24,17.29,14.21,184.45,12.63,17.25,17.88,15.3,3.23,18.89,6.34,28.93,60.44,8.53,8.33
Infection plant,32.73,16.59,139.23,18.1,48.46,21.13,9.51,16.59,10.97,196.92,10.73,26.59,37.39,16.26,7.44,14.86,9.42,21.53,51.36,8.97,9.49
Infection plant,33.8,21.52,125.89,10.93,46.85,23.13,4.95,24.56,12.83,160.61,15.75,20.97,13.86,12.65,2.51,19.58,1.1,36,19.48,9.27,7.33
Infection plant,39.17,17.18,90.2,38.6,38.84,22.32,11.09,29.14,14.31,161.22,19.94,20.69,36.46,15.52,1.6,12.53,6.78,61.27,91.28,6.76,9.21
Infection plant,37.68,16.3,86.42,23.13,48.43,23.79,3.14,16.99,9.09,178.82,8.09,23.5,37.6,11.21,7.21,15.54,6.73,29.51,56.75,4.21,4.82
Infection plant,32.81,20.69,125.11,10.02,33.55,24.19,7.57,25.9,12.91,135.14,10.19,19.75,10.71,14.15,9.28,11.94,6.2,60.93,40.37,4.7,2.31
Infection plant,32.68,16.65,91.12,19.05,48.96,18.56,12.48,19.52,12.24,136.13,12,22.03,32.73,15.17,8.01,19.75,5.59,97.86,65.33,13.17,9.77
Infection plant,31.49,20.56,131.74,12.45,39.34,16.2,5.61,20.43,10.25,115.37,19.29,25.4,36.55,14.51,2.59,15.86,4.97,45,54.96,11.91,9.9
Infection plant,32.04,17.22,131.33,49.13,47.54,23.59,6.32,29.63,10.42,110.4,14.19,23.37,29.57,11.13,2.41,20.35,8.26,55.48,88,4.11,7.43
Infection plant,33.86,15.78,128.56,48.29,46.81,23.27,5.13,25.4,16.32,182.54,9.13,18.39,42.59,10.88,10.52,14.94,4.69,94.82,47.76,10.62,6.39
Infection plant,30.41,21.03,105.57,29.93,34.98,23.64,11.36,25.18,15.04,186.38,19.64,25.49,23.26,13.58,8.25,18.8,9.02,44.62,85.57,4.04,6.85
Infection plant,39.86,12.97,124.03,44.18,48.87,18.34,11.86,17.02,12.43,174.41,15.67,19.3,42,11.12,8.83,16.18,4.54,45.63,50.69,8.74,3.83
Infection plant,30.21,16.1,80.92,25.51,33.51,25.74,3.63,26.7,8.04,145.37,13.07,18.05,31.81,18.05,7.49,14.82,5.96,49.38,72.71,6.42,6.1
Infection plant,30.3,18.23,83.06,14.72,45.93,22.68,6.43,19.3,11.69,193.75,14.58,24.68,16.55,17.14,4.12,15.18,6.97,14.18,85.83,4.75,4.22
Infection plant,34.56,13.84,101.11,36.11,46.61,21.87,4.45,19.54,16.6,174.43,9.45,18.07,29.31,10.22,6.28,19.45,4.91,28.88,58.2,8.47,9.38
Infection plant,33.02,19.3,82.58,32.72,36.78,16.26,6.59,17.82,10.74,131.36,12.86,18.14,14.86,11.95,8.15,16.42,3.62,22.78,21.55,5.58,3.06
Infection plant,39,18.14,102.6,26.91,35.9,18.85,3.68,24.23,17.3,201.43,9.32,18.52,37.73,19.64,7.77,17.07,6.22,60.9,37.72,12.94,5.82
Infection plant,35.24,17.31,96.22,27.12,26,17.28,11.22,28.4,15.73,184.88,9.75,26.4,28.94,19.72,2.79,19.34,6.5,52.61,26.32,4.53,4.25
Infection plant,37.31,18.15,94.89,17.15,25.46,22.19,9.79,18.45,14,124.38,10.77,25.94,44.15,16.14,7.07,15.38,5.14,20.39,91,10.2,2.75
Infection plant,39.85,15.07,129.54,11.04,23.99,19.88,9.55,24.68,15.62,133.81,14.52,17.44,49.34,10.93,8.97,14.14,4.13,21,99.68,13.09,6.91
Infection plant,36.58,18.68,132.12,46.33,48.91,19.73,8.24,29.53,17.01,117.21,17.26,25.08,15.05,13.73,1.07,12.9,9.19,56.9,54.3,5.81,1.72
Infection plant,31.94,17.51,139.64,15.96,27.98,18.39,6.98,29.52,11.28,143.1,14.28,18.59,35.34,18.69,10.17,18.41,7.29,26,57.48,4.16,4.95
Infection plant,39.96,17.57,126.36,33.57,36.04,17.94,3.61,15.5,9.92,201.79,12.17,23.41,16.37,11.66,10.71,14.42,9.1,56.78,32.9,13.79,7.48
Infection plant,33.12,14.48,131.17,40.24,30.68,25.12,7.16,21.94,8.84,185.44,15.94,18.82,17.85,15.63,4.57,13.58,4.86,81.87,95.79,11.03,9.53
Infection plant,37.6,20.49,110.73,38.28,45.18,19.56,8.06,19.19,12.98,205.83,11.2,21.68,10.79,13.04,6.37,12.06,3.32,69.87,54.81,4.76,6.86
Infection plant,31.15,15.9,83.67,39.2,37.64,21.36,5.65,15.77,8.3,164.23,11.01,20.85,40.75,14.1,6.56,20.88,7.76,46.58,56.71,7.25,7.54
Infection plant,35.22,17.3,90.35,32.73,20.42,16.6,9.4,17.47,9.83,152.72,8.22,23.01,24.3,11.32,9.56,16.72,7.55,76.66,55.18,8.59,4.47
Infection plant,35.96,15.53,92.16,22.66,22.5,17.95,6.66,18.56,13.05,122.27,10.15,17.21,21.05,13.33,1.35,15.03,10.85,93.38,76.97,11.5,2.4
Infection plant,36.42,20.39,82.21,30.44,49.33,19.3,7.35,14.21,16.27,140.2,16.05,17.18,18,17.58,5.83,19.07,3.41,76.84,94.47,10.05,1.34
Infection plant,38.22,19.46,99,49.11,36.07,21.19,10.93,28.5,13.83,118,13.12,20.4,46.6,18.67,8.09,14.13,9.9,76.21,82,5.35,7.34
Infection plant,37.23,16.83,129.63,48.9,42.63,22.11,12.78,17.77,13.92,128,14.98,17.08,45.49,16.51,8.59,12.75,5.42,29.25,55.26,10.86,4.09
Infection plant,30.84,19.78,91,38.95,48.28,21.59,11.79,26.16,8.52,178.98,16.96,23.65,47.59,10.17,3.37,15.77,9.03,48.45,51.28,9.56,7.53
Infection plant,35.37,20.22,129.09,21.59,21.31,24.44,8.67,21.15,10.09,138.39,8.45,22.11,23.13,11.9,5.97,14.78,3.6,89.76,85.47,6.24,3.23
Infection plant,33.19,16.85,138.16,43.82,45.57,16.61,3.22,23.97,9.5,120.6,17.98,23.19,48.25,16.2,5.42,19.74,1.52,37.19,54.7,11.23,6.81
Infection plant,30.77,16.77,133.46,36.38,21.96,19.09,4.91,18.16,12.8,123.75,14.29,24.85,36.38,16.08,1.54,19.33,2.57,84.74,50.13,6.72,10.53
Infection plant,37.9,15.87,100,37.13,36.75,18.69,4.05,15.72,12.7,192.18,10.33,21.05,38.36,11.96,1.76,16.25,8.54,66,54.42,8.11,6.17
Infection plant,33.4,21.62,90.39,17.59,46.13,20.61,8.81,28.86,15.94,156.15,12.1,21.9,40.36,13.11,8.93,16.94,8.66,92.99,56,7.88,6.92
Infection plant,39.39,14.34,80.08,25.44,42.99,21.25,9.23,21.89,17,193.28,19.91,20.3,37.81,19.37,1.53,16.07,3.54,55.27,76.08,9.54,2.9
Infection plant,35.77,20.4,105.67,48.51,20.1,22.84,8.07,16.48,17.42,140.82,11.87,21.71,35.17,10.2,7.68,11.26,6.58,55.35,55.09,4.49,9.58
Infection plant,32.26,14.07,109.02,20.86,36.93,23.02,3.35,26.73,13.26,121.22,18.26,20.8,19.45,10.91,6.59,16.39,3.9,60.46,32.83,9.23,6.34
Infection plant,32.56,15.95,95.43,40.74,32.57,19.75,10.21,22.92,10.94,171.77,11.43,23.64,45.33,15.97,7.41,15.5,8.42,55.6,39,7.89,10.11
Infection plant,35.74,13.59,81.22,16.6,37.35,17.37,10.83,14.93,8.85,131.3,9.37,20.82,39.41,15.12,3.73,13.44,6.49,56.09,93.2,13.9,5.44
Infection plant,30.43,18.36,135.9,40.25,31,18.67,12.47,19.15,9.85,138.74,18.2,24.46,28.32,16.01,8.81,14.35,1.42,53.03,54.69,5.65,10.06
Infection plant,36.72,20.74,92.69,37.7,39.66,22.24,7.27,24.05,12.55,206.22,10.38,25.42,11.58,16.73,7.36,13.13,6.64,46.69,56.26,5.63,6.16
Infection plant,30.94,12.48,96.94,35.97,22.66,24.37,7.4,19.08,10.39,111.51,12.07,19.69,30.91,10.31,2.45,17.43,4.98,29.03,55.61,9.59,1.44
Infection plant,39.3,20.88,81.74,41.26,48.56,21.69,12.37,26.94,10.21,200.02,19.75,24.66,35.25,14.59,10.47,18.51,8.13,86,98.18,7.6,5.53
Infection plant,35.97,18.85,90.22,47.31,45.88,20.16,9.01,22.44,17.16,122,12.75,19.79,42.35,15.54,5.67,14.08,3.28,48.75,33.54,6.27,5
Infection plant,33.77,20.16,117.49,34.64,21.18,17.1,5.33,28.01,9.26,157.35,19.01,25.35,24.54,13.67,2.35,17.85,3.37,21.58,54.45,10.74,10.3
Infection plant,33.31,16.58,129.21,38.96,49.45,20.88,7.54,29.34,9.14,173.76,14.76,18.24,49.11,15.06,3.94,13.62,3.56,64.79,52.54,12.46,2.53
Infection plant,30.26,16.96,100.01,46.43,28,19.72,9.29,29.41,13.67,197.31,14.4,23.3,30.36,16.57,6.72,16.96,2.8,63.26,65.09,11.29,3.05
Infection plant,35.25,13.95,108.85,37.41,47.48,19.68,3.78,24.41,8.72,114.35,8.14,22.22,15.09,13.38,7.01,14.89,2.26,62,38.48,12.5,8.91
Infection plant,31.19,21.38,129.2,45.64,35.54,24.98,5.94,23.87,17.51,194.73,11.11,26.62,27.81,15.88,9.71,13.37,4.22,42.65,55.63,11.39,9.64
Infection plant,38.42,20.46,85.06,30.02,47.29,19.14,6.15,19.32,13.96,145.63,11.97,22.45,36.86,11.45,4.6,16.49,3.27,56.34,51,10.6,3.88
Infection plant,39.2,16.16,99.41,45.33,39.47,19.9,9.19,23.1,10.8,188.33,19.88,26.53,18.92,13.79,4.36,15.35,5.4,55.38,33.12,4,9.47
Infection plant,32.24,21.29,120.71,36.83,34.18,24,4.08,15.3,16.26,175.72,10.31,20.79,16.74,13.7,1.12,17.39,8.92,55.95,62.48,12.32,9.67
Infection plant,36.61,21.69,88.21,16.54,47.87,16.02,4.2,21.66,10.58,182.11,12.98,23.71,48.49,12.75,4.69,16.85,4.32,37.13,78.37,12.3,3.74
Infection plant,33.07,16.22,100.54,42.36,35.5,24.58,4.55,29.23,10.63,177.65,11.69,25.75,47.68,13.9,8.03,20.23,5.64,83.5,52.97,12.55,9.94
Infection plant,36.6,18.4,103.84,25.12,47,21.07,10.02,16.05,10.01,161.23,11.38,26.43,17.32,14.73,10.69,16.83,2.64,15.23,28.21,13.2,1.46
Infection plant,31.84,18.87,136.71,39.88,40.75,25.35,12.68,19.24,8.88,181.93,13.54,22.05,49.48,15.7,2.29,16.75,3.22,47.76,50.62,13.99,1.36
Infection plant,37.25,17.73,87.39,35.34,39.94,16.55,10.69,25.92,15.31,123.45,9.11,21.81,38.98,10.81,3.89,12.22,6.13,65.24,54.74,5.17,1.16
Infection plant,31.97,13.35,84.28,41.46,46.79,24.79,9.68,27.06,17.48,171.09,14.99,19.64,35.91,14.32,10.49,17.93,6.15,55.15,24.26,5.97,10.5
Infection plant,32.86,17.77,91.63,12.07,22.31,24.73,10.41,22.36,14.43,129.98,12.78,17.28,14.43,14.65,5.18,16.03,5.49,76.2,36.82,11.44,3.72
Infection plant,37.05,16.55,135.86,27.55,46.32,25.2,12.65,26.3,14.87,179.89,16.11,21.58,35.05,11.67,10.59,14.29,2.47,57.95,24.92,9.24,7.99
Infection plant,35.83,16.79,126,26.86,31.23,20.39,11.12,16.85,13.78,143.57,13.88,24.38,36.95,13.47,7.28,20.07,8.11,74,95.39,4.1,7.52
Infection plant,37.51,15.13,134.01,40.75,46.14,24.96,8.49,21.26,11.77,176.56,13.79,22.89,29.9,18.94,2.13,20.76,5.33,47,45.32,12.69,3.97
Infection plant,32.94,18.97,109.28,36.87,36.73,23.67,12.25,28.74,15.69,183.3,13.61,22.35,10.07,14.3,8.24,18.86,2.97,55.39,28.16,11.11,0.99
Infection plant,30.17,14.37,135.18,29.53,20.63,24.21,10.09,29.43,8.02,189.8,13.45,22.38,10.11,19.38,3.18,12.45,2.65,90.77,87,10.67,3.37
Infection plant,35.88,13.76,137.04,29.25,48.72,25.97,11.13,28.47,15.63,186,17.11,21.87,44.04,18.59,5.58,15.47,10.25,90.47,54.53,5.24,5.36
Infection plant,32.36,16.52,113.07,45.39,31.32,23.55,5.01,16.32,9.48,139.49,12.83,23.73,19.66,19.4,8.53,13.12,4.92,16.77,53.83,5.55,6.58
Infection plant,32.18,12.81,135.09,21.69,49.3,19.17,3.01,16.25,16.11,184.31,8.04,20.17,29.86,15.05,8.43,18.7,2.79,75,96.49,4.2,4.39
Infection plant,30.71,14.25,123.42,26.64,31.81,25.94,5.45,18.09,13.5,113.36,13.25,20,19.73,10.23,10.57,11.86,9.65,93.08,72.11,6.97,9.91
Infection plant,35.87,21.77,101.88,43.75,35.2,22.64,11.78,16.7,11.04,121.17,14.87,17.67,40.67,18.43,8.21,17.8,2.93,96.48,91.15,13.12,6.37
